Date (GMT+2),DE (TenneT) Load decrease (current-induced)
,Energy (MWh)
2024-09-01T00:00+02:00,
2024-09-01T00:15+02:00,
2024-09-01T00:30+02:00,
2024-09-01T00:45+02:00,
2024-09-01T01:00+02:00,
2024-09-01T01:15+02:00,
2024-09-01T01:30+02:00,
2024-09-01T01:45+02:00,
2024-09-01T02:00+02:00,
2024-09-01T02:15+02:00,
2024-09-01T02:30+02:00,
2024-09-01T02:45+02:00,
2024-09-01T03:00+02:00,
2024-09-01T03:15+02:00,
2024-09-01T03:30+02:00,
2024-09-01T03:45+02:00,
2024-09-01T04:00+02:00,
2024-09-01T04:15+02:00,
2024-09-01T04:30+02:00,
2024-09-01T04:45+02:00,
2024-09-01T05:00+02:00,
2024-09-01T05:15+02:00,
2024-09-01T05:30+02:00,
2024-09-01T05:45+02:00,
2024-09-01T06:00+02:00,
2024-09-01T06:15+02:00,
2024-09-01T06:30+02:00,
2024-09-01T06:45+02:00,
2024-09-01T07:00+02:00,
2024-09-01T07:15+02:00,
2024-09-01T07:30+02:00,
2024-09-01T07:45+02:00,
2024-09-01T08:00+02:00,
2024-09-01T08:15+02:00,
2024-09-01T08:30+02:00,
2024-09-01T08:45+02:00,
2024-09-01T09:00+02:00,
2024-09-01T09:15+02:00,
2024-09-01T09:30+02:00,
2024-09-01T09:45+02:00,
2024-09-01T10:00+02:00,
2024-09-01T10:15+02:00,
2024-09-01T10:30+02:00,
2024-09-01T10:45+02:00,
2024-09-01T11:00+02:00,-75
2024-09-01T11:15+02:00,-75
2024-09-01T11:30+02:00,-85
2024-09-01T11:45+02:00,-85
2024-09-01T12:00+02:00,-85
2024-09-01T12:15+02:00,-85
2024-09-01T12:30+02:00,-85
2024-09-01T12:45+02:00,-85
2024-09-01T13:00+02:00,-85
2024-09-01T13:15+02:00,-85
2024-09-01T13:30+02:00,-85
2024-09-01T13:45+02:00,-85
2024-09-01T14:00+02:00,-85
2024-09-01T14:15+02:00,-85
2024-09-01T14:30+02:00,-85
2024-09-01T14:45+02:00,-85
2024-09-01T15:00+02:00,-10
2024-09-01T15:15+02:00,-10
2024-09-01T15:30+02:00,-10
2024-09-01T15:45+02:00,-10
2024-09-01T16:00+02:00,-10
2024-09-01T16:15+02:00,-10
2024-09-01T16:30+02:00,-10
2024-09-01T16:45+02:00,-10
2024-09-01T17:00+02:00,-10
2024-09-01T17:15+02:00,-10
2024-09-01T17:30+02:00,-10
