Date (GMT+2),DE (TenneT) Load decrease (current-induced)
,Energy (MWh)
2024-04-02T22:00+02:00,
2024-04-02T22:15+02:00,
2024-04-02T22:30+02:00,
2024-04-02T22:45+02:00,
2024-04-02T23:00+02:00,
2024-04-02T23:15+02:00,
2024-04-02T23:30+02:00,
2024-04-02T23:45+02:00,
2024-04-03T00:00+02:00,
2024-04-03T00:15+02:00,
2024-04-03T00:30+02:00,
2024-04-03T00:45+02:00,
2024-04-03T01:00+02:00,
2024-04-03T01:15+02:00,
2024-04-03T01:30+02:00,
2024-04-03T01:45+02:00,
2024-04-03T02:00+02:00,
2024-04-03T02:15+02:00,
2024-04-03T02:30+02:00,
2024-04-03T02:45+02:00,
2024-04-03T03:00+02:00,
2024-04-03T03:15+02:00,
2024-04-03T03:30+02:00,
2024-04-03T03:45+02:00,
2024-04-03T04:00+02:00,
2024-04-03T04:15+02:00,
2024-04-03T04:30+02:00,
2024-04-03T04:45+02:00,
2024-04-03T05:00+02:00,
2024-04-03T05:15+02:00,
2024-04-03T05:30+02:00,
2024-04-03T05:45+02:00,
2024-04-03T06:00+02:00,
2024-04-03T06:15+02:00,
2024-04-03T06:30+02:00,
2024-04-03T06:45+02:00,
2024-04-03T07:00+02:00,
2024-04-03T07:15+02:00,
2024-04-03T07:30+02:00,
2024-04-03T07:45+02:00,
2024-04-03T08:00+02:00,
2024-04-03T08:15+02:00,
2024-04-03T08:30+02:00,
2024-04-03T08:45+02:00,
2024-04-03T09:00+02:00,
2024-04-03T09:15+02:00,
2024-04-03T09:30+02:00,
2024-04-03T09:45+02:00,
2024-04-03T10:00+02:00,
2024-04-03T10:15+02:00,
2024-04-03T10:30+02:00,
2024-04-03T10:45+02:00,
2024-04-03T11:00+02:00,
2024-04-03T11:15+02:00,
2024-04-03T11:30+02:00,
2024-04-03T11:45+02:00,
2024-04-03T12:00+02:00,
2024-04-03T12:15+02:00,
2024-04-03T12:30+02:00,
2024-04-03T12:45+02:00,
2024-04-03T13:00+02:00,
2024-04-03T13:15+02:00,
2024-04-03T13:30+02:00,
2024-04-03T13:45+02:00,
2024-04-03T14:00+02:00,
2024-04-03T14:15+02:00,
2024-04-03T14:30+02:00,
2024-04-03T14:45+02:00,
2024-04-03T15:00+02:00,
2024-04-03T15:15+02:00,
2024-04-03T15:30+02:00,
2024-04-03T15:45+02:00,
2024-04-03T16:00+02:00,
2024-04-03T16:15+02:00,
2024-04-03T16:30+02:00,
2024-04-03T16:45+02:00,
2024-04-03T17:00+02:00,
2024-04-03T17:15+02:00,
2024-04-03T17:30+02:00,
2024-04-03T17:45+02:00,
2024-04-03T18:00+02:00,
2024-04-03T18:15+02:00,
2024-04-03T18:30+02:00,
2024-04-03T18:45+02:00,
2024-04-03T19:00+02:00,
2024-04-03T19:15+02:00,
2024-04-03T19:30+02:00,
2024-04-03T19:45+02:00,
2024-04-03T20:00+02:00,
2024-04-03T20:15+02:00,
2024-04-03T20:30+02:00,
2024-04-03T20:45+02:00,
2024-04-03T21:00+02:00,
2024-04-03T21:15+02:00,
2024-04-03T21:30+02:00,
2024-04-03T21:45+02:00,
2024-04-03T22:00+02:00,
2024-04-03T22:15+02:00,
2024-04-03T22:30+02:00,
2024-04-03T22:45+02:00,
2024-04-03T23:00+02:00,
2024-04-03T23:15+02:00,
2024-04-03T23:30+02:00,
2024-04-03T23:45+02:00,
2024-04-04T00:00+02:00,
2024-04-04T00:15+02:00,
2024-04-04T00:30+02:00,
2024-04-04T00:45+02:00,
2024-04-04T01:00+02:00,
2024-04-04T01:15+02:00,
2024-04-04T01:30+02:00,
2024-04-04T01:45+02:00,
2024-04-04T02:00+02:00,
2024-04-04T02:15+02:00,
2024-04-04T02:30+02:00,
2024-04-04T02:45+02:00,
2024-04-04T03:00+02:00,
2024-04-04T03:15+02:00,
2024-04-04T03:30+02:00,
2024-04-04T03:45+02:00,
2024-04-04T04:00+02:00,
2024-04-04T04:15+02:00,
2024-04-04T04:30+02:00,
2024-04-04T04:45+02:00,
2024-04-04T05:00+02:00,
2024-04-04T05:15+02:00,
2024-04-04T05:30+02:00,
2024-04-04T05:45+02:00,
2024-04-04T06:00+02:00,
2024-04-04T06:15+02:00,
2024-04-04T06:30+02:00,
2024-04-04T06:45+02:00,
2024-04-04T07:00+02:00,
2024-04-04T07:15+02:00,
2024-04-04T07:30+02:00,
2024-04-04T07:45+02:00,
2024-04-04T08:00+02:00,
2024-04-04T08:15+02:00,
2024-04-04T08:30+02:00,
2024-04-04T08:45+02:00,
2024-04-04T09:00+02:00,
2024-04-04T09:15+02:00,
2024-04-04T09:30+02:00,
2024-04-04T09:45+02:00,
2024-04-04T10:00+02:00,
2024-04-04T10:15+02:00,
2024-04-04T10:30+02:00,
2024-04-04T10:45+02:00,
2024-04-04T11:00+02:00,
2024-04-04T11:15+02:00,-1.25
2024-04-04T11:30+02:00,-2.5
